ville;code_postal;latitude;longitude;department_name;region
villerserine;39800;46.855455889;5.639683999;jura;bourgogne-franche-comté
villette les arbois;39600;46.933518721;5.743829779;jura;bourgogne-franche-comté
le villey;39230;46.848011647;5.507972027;jura;bourgogne-franche-comté
val sonnette;39190;46.602897042;5.464680776;jura;bourgogne-franche-comté
val sonnette;39190;46.602897042;5.464680776;jura;bourgogne-franche-comté
vincent froideville;39230;46.79367224;5.482371739;jura;bourgogne-franche-comté
vosbles valfin;39240;46.348400035;5.52189486;jura;bourgogne-franche-comté
anlezy;58270;46.966560312;3.498985277;nièvre;bourgogne-franche-comté
anthien;58800;47.308662574;3.724871048;nièvre;bourgogne-franche-comté
arleuf;58430;47.040464565;4.015692994;nièvre;bourgogne-franche-comté
asnan;58420;47.310372331;3.5523411510000003;nièvre;bourgogne-franche-comté
aunay en bazois;58110;47.124134471;3.719630112;nièvre;bourgogne-franche-comté
biches;58110;46.993703901;3.654343187;nièvre;bourgogne-franche-comté
billy chevannes;58270;47.011971519;3.461879934;nièvre;bourgogne-franche-comté
blismes;58120;47.122483237;3.82148616;nièvre;bourgogne-franche-comté
breves;58530;47.429737821;3.624267859;nièvre;bourgogne-franche-comté
challuy;58000;46.94196697;3.140253373;nièvre;bourgogne-franche-comté
champlin;58700;47.244720142;3.45042992;nièvre;bourgogne-franche-comté
champvert;58300;46.853200997;3.523436401;nièvre;bourgogne-franche-comté
chaumot;58800;47.251871128;3.643272447;nièvre;bourgogne-franche-comté
colmery;58350;47.348513898;3.246722321;nièvre;bourgogne-franche-comté
corbigny;58800;47.256108779;3.689402188;nièvre;bourgogne-franche-comté
cossaye;58300;46.75584565;3.5098283500000003;nièvre;bourgogne-franche-comté
dirol;58190;47.31839342;3.643605188;nièvre;bourgogne-franche-comté
dommartin;58120;47.071580028;3.845762646;nièvre;bourgogne-franche-comté
empury;58140;47.347358725;3.822286786;nièvre;bourgogne-franche-comté
epiry;58800;47.17048431;3.731841261;nièvre;bourgogne-franche-comté
garchizy;58600;47.043647776;3.09366001;nièvre;bourgogne-franche-comté
lamenay sur loire;58300;46.74622068;3.572315444;nièvre;bourgogne-franche-comté
lormes;58140;47.289145913;3.825318823;nièvre;bourgogne-franche-comté
lucenay les aix;58380;46.698049547;3.49197907;nièvre;bourgogne-franche-comté
la machine;58260;46.891574846;3.462345119;nièvre;bourgogne-franche-comté
mesves sur loire;58400;47.230238077;3.00396493;nièvre;bourgogne-franche-comté
metz le comte;58190;47.393000619;3.63581637;nièvre;bourgogne-franche-comté
mhere;58140;47.194724629;3.860095553;nièvre;bourgogne-franche-comté
moissy moulinot;58190;47.327325796;3.707138721;nièvre;bourgogne-franche-comté
montaron;58250;46.876229584;3.74814841;nièvre;bourgogne-franche-comté
montigny aux amognes;58130;47.025418665;3.279291198;nièvre;bourgogne-franche-comté
montsauche les settons;58230;47.214293843;4.033132574;nièvre;bourgogne-franche-comté
moussy;58700;47.196501089;3.458811837;nièvre;bourgogne-franche-comté
neuvy sur loire;58450;47.532184059;2.890145485;nièvre;bourgogne-franche-comté
